,user,text,favorite_count,retweet_count,created_at
155,FreisITG,College me for sure wouldnt be able to do half the shit I do today,5,0,2022-09-30 12:06:55+00:00
156,FreisITG,@HitenMitsurugi_ does it get crazier,1,0,2022-09-30 09:17:32+00:00
157,FreisITG,@jadefengs @Curdmaster12 LMAOO actually. those bills go crazy,1,0,2022-09-30 05:13:37+00:00
158,FreisITG,Being early 20s is fuckin insane man,19,0,2022-09-30 04:46:51+00:00
159,FreisITG,@jcao0928 @frobin @MajinnTy @HanbinSG @HitenMitsurugi_ @emilycxww @blazincalf @kukumalu890 Happy birthday Johnny!,3,0,2022-09-29 01:52:18+00:00
160,FreisITG,"@Stinkycheeseone One of these is not like the rest, what the actual fuckkk",1,0,2022-09-29 01:06:08+00:00
161,FreisITG,@slimezilla4 @needBobaTea @BigYamaDDR @HanbinSG @kukumalu890 @HitenMitsurugi_ @MajinnTy Yeah this is the finale song https://t.co/ylngfni7Rt,4,0,2022-09-28 04:59:17+00:00
162,FreisITG,@needBobaTea @slimezilla4 @BigYamaDDR @HanbinSG @kukumalu890 @HitenMitsurugi_ @MajinnTy The OP https://t.co/ULHplS5DRy,7,0,2022-09-28 02:19:47+00:00
163,FreisITG,@Curdmaster12 @mr_j1998 @bromid bro crossovers AND gimmicks at 195bpm. cant get any better than that,5,1,2022-09-27 16:09:44+00:00
164,FreisITG,@mr_j1998 hell yeah @bromid did! with the gimmicks and all 🔥,3,0,2022-09-27 16:03:46+00:00
165,FreisITG,Yo I kinda murdered that https://t.co/sfj5wNnIPg,29,0,2022-09-27 15:59:10+00:00
166,FreisITG,@BigC927 happy birthday mr banger tweets!,1,0,2022-09-27 15:49:55+00:00
167,FreisITG,@bromid From the man himself 😂 dw I still mmod beast mode one of the best 13s ever 😍,1,0,2022-09-27 15:48:10+00:00
168,FreisITG,@teletubbsxd At 105 and very inspired by this wow,1,0,2022-09-27 15:40:36+00:00
169,FreisITG,"[13] Welcome To The Mosh Pit - 99.81% Full Combo

Getting closer to quadding another 13 👀 https://t.co/fTG4RQf0AW",10,0,2022-09-27 15:07:17+00:00
170,FreisITG,crossovers my beloved,0,0,2022-09-27 14:35:03+00:00
171,FreisITG,Best DDR chart rn https://t.co/comoQaz0Pd,1,0,2022-09-27 14:33:15+00:00
